"Story","Title","Result","Date","Stability","Duration (s)"
"As user I want to see details product","As user i have be able to see detail product","SUCCESS","2022-05-17T21:11:20.288+07:00[Asia/Bangkok]","0.0","28.23"
"As user I want to login So that i can see home page","As user i have be able to success login","SUCCESS","2022-05-17T21:11:49.576+07:00[Asia/Bangkok]","0.0","16.47"
"As user I want to login So that i can see home page","As user i have failed to login with invalid password","SUCCESS","2022-05-17T21:12:06.91+07:00[Asia/Bangkok]","0.0","17.96"
"As user I want to login So that i can see home page","As user i have failed to login with invalid email","SUCCESS","2022-05-17T21:12:25.767+07:00[Asia/Bangkok]","0.0","11.83"
"As user I want to login So that i can see home page","As user i have failed to login with not input data","SUCCESS","2022-05-17T21:12:38.334+07:00[Asia/Bangkok]","0.0","14.04"
"As a user I want to buy items in the home page","As user i have be able to buy items","SUCCESS","2022-05-17T21:12:53.285+07:00[Asia/Bangkok]","0.0","18.3"
"As a user I want to buy items in the home page","As user i want to verify quantity working or not","SUCCESS","2022-05-17T21:13:12.625+07:00[Asia/Bangkok]","0.0","24.18"
"As user i want to create account So that i can login","As user i have be able to success crete account","SUCCESS","2022-05-17T21:13:37.638+07:00[Asia/Bangkok]","0.0","14.09"
"As user i want to create account So that i can login","As user i have failed to create account with registered data","SUCCESS","2022-05-17T21:13:52.547+07:00[Asia/Bangkok]","0.0","11.36"
"As user i want to create account So that i can login","As user i have failed to create account with no input password","SUCCESS","2022-05-17T21:14:04.695+07:00[Asia/Bangkok]","0.0","14.97"
"As a user I want to pay for all items in the basket","As user i have be able to success pay all items","SUCCESS","2022-05-17T21:14:20.459+07:00[Asia/Bangkok]","0.0","21.64"
"As a user I want to pay for all items in the basket","As user i have fail to pay all items with not login","SUCCESS","2022-05-17T21:14:42.852+07:00[Asia/Bangkok]","0.0","16.17"
